Numeric Value,Category Name
0,Молоко пастеризованное
1,Молоко ультрапастеризованное
2,Молоко стерилизованное
3,Молоко топленое
4,Сливки пастеризованные
5,Сливки ультрапастеризованные
6,Сливки стерилизованные
7,Сыр плавленый
8,Сыр Колбасный (копченый)
9,Сырные палочки и фондю
10,Сыр творожный
11,Сыр с ЗМЖ
12,Запеканка из творога
13,Сырники из творога
14,Салат сырный
15,Суп сырный
16,Молочные десерты (пудинг и др)
17,Продукты с бифидобактериями
18,Молокосодержащий продукт Сметана СЗМЖ
19,Молокосодержащий продукт СЗМЖ
20,Напитки с добавлением молока
21,Напитки с молочной сывороткой
22,Кефир
23,Ряженка
24,Варенец
25,Йогурт натуральный
26,Йогуртный продукт
27,Напиток кисломолочный с добавками
28,Сметана
29,Тан
30,Айран
31,Творог
32,Творог зерненый
33,Творог мягкий
34,Творог мягкий плодово-ягодный
35,Творожный продукт с ЗМЖ
36,Масса творожная сладкая
37,Масса творожная сладкая с изюмом
38,"Масса творожная сладкая с фруктами, ягодами или др. добавками"
39,Сырок творожный глазированный
40,Молоко сгущенное с сахаром
41,Молокосодержащий продукт сгущенный с сахаром с ЗМЖ
42,Мороженое Молочное
43,Мороженое Молочное крем-брюле
44,Мороженое Молочное шоколадное
45,Мороженое Молочное с плодами и ягодами
46,Мороженое Молочное в шоколадной глазури
47,Мороженое Сливочное
48,Мороженое Сливочное с плодами и ягодами
49,Мороженое Сливочное в шоколадной глазури
50,Пломбир
51,Пломбир шоколадный
52,Пломбир в шоколадной глазури
53,Мороженое с ЗМЖ
54,Фруктовый лед
55,Сыр твердый
56,Сыр Российский
57,Сыр Голландский
58,Сыр Швейцарский
59,Сыр Чеддер
60,Пошехонский
61,Сыр полутвердый
62,Сыр ассорти
63,Сыр мягкий
64,Сыр Камамбер
65,Сыр Адыгейский
66,"Сыр сливочный (Маскарпоне, Филадельфия и др)"
67,Брынза
68,Сулугуни
69,Моцарелла
70,Яйцо целое
71,Яйцо отварное
72,Яичница глазунья
73,Яйцо под майонезом
74,Салат яичный
75,Омлет
76,Яйцо перепелиное целое
77,Вырезка говяжья
78,Вырезка свиная
79,Говядина
80,Говядина духовая
81,"Говядина, лопатка"
82,Корейка говяжья
83,Корейка свиная бескостная
84,Корейка свиная на кости
85,Крольчатина
86,Ребра свиные
87,Свинина мясная
88,Свиной окорок
89,Суповой набор
90,Бедро индейки
91,Бройлеры (цыплята)
92,Голень индейки
93,Крылья индейки
94,Куриные бедра
95,Куриные грудки (филе)
96,Куриные крылья и голень
97,Куриные окорочка (бедро и голень)
98,Утки
99,Филе индейки
100,Гематоген батончики
101,Печень говяжья
102,Сердце говяжье
103,Язык говяжий
104,"Уши, щеки, баки свиные"
105,Язык свиной
106,Желудки куриные
107,Куриные головы
108,Шея птиц
109,Печень птицы
110,Сердца куриные
111,Говядина тушеная консерв.
112,Паштет мясной
113,Паштет печеночный консерв.
114,Свинина тушеная консерв.
115,Язык говяжий в желе
116,Азу
117,Антрекот
118,Бефстроганов
119,Биточки
120,Бифштекс рубленый
121,Бифштекс с яйцом
122,Бургер
123,Говядина отварная
124,Гуляш говяжий
125,Жаркое по-домашнем
126,Котлеты рубленые
127,Люля-кебаб из говядины
128,Рулет мясной с луком и яйцом
129,Солянка сборная мясная
130,Стейк из говядины
131,Суп на густом мясном бульоне
132,Суп с фрикадельками
133,Тефтели
134,Фарш из говядины
135,Фрикадельки
136,Гуляш из свинины
137,Котлеты свиные отбивные
138,Котлеты свиные рубленые
139,Купаты и колбаски для жарки
140,Свинина жареная
141,Свинина жареная на гриле или углях
142,Свинина тушеная
143,Фарш домашний
144,Фарш из свинины
145,Шницель свиной отбивной
146,Шницель свиной рубленый
147,Эскалоп свиной
148,Суп с бараниной
149,Оладьи из говяжьей печени
150,Печень говяжья жареная
151,Печень говяжья тушенная
152,Язык говяжий отварной
153,Салат мясной
154,Салат с колбасой или ветчиной
155,"Холодец, мясо заливное"
156,Шашлык ассорти
157,Биточки куриные
158,Бульон куриный
159,Бульон куриный с яйцом
160,Котлеты куриные
161,Котлеты по Киевски
162,Колбаски и купаты для жарки из мяса птицы
163,Куриные окорочка кулинарно обработанные
164,Курица отварная
165,Курица жареная на гриле или углях
166,Курица жареная
167,Курица с сыром
168,Курица тушенная с овощами
169,Печень и сердце куриные жареные
170,Рагу из кур
171,Рулет из мяса птицы
172,Салат с курицей
173,Салат Цезарь с курицей
174,Суп куриный с макаронными изделиями
175,Фарш из мяса кур
176,Чахохбили
177,Шницель куриный
178,Фарш из мяса индейки
179,Котлеты из мяса птицы
180,Паштет из мяса или печени птицы
181,Филе птицы запеченное с овощами
182,Колбаса вареная ассорти
183,Колбаса Докторская
184,Пироги с мясом птицы
185,Пельмени
186,Пироги с мясом птицы и грибами
187,Пирожки с мясным фаршем и луком
188,Пирожки с печенью
189,Чебуреки с мясом
190,Бутерброд с колбасой
191,Бутерброд разный
192,Бутерброд с мясом
193,Сардельки говяжьи
194,Шпикачки
195,Сосиски говяжьи
196,Сосиски Молочные
197,Сосиски разные
198,Зельц
199,Колбаса Салями варено-копченая
200,Колбаса Сервелат варено-копченая
201,Колбаса Салями полукопченая
202,Колбаса Салями сырокопченая
203,Колбаса Сервелат сырокопченая
204,Колбаса сырокопченая ассорти
205,Балык свиной
206,Буженина
207,Ветчина
208,Грудинка варено-копченая
209,Карбонад
210,Окорок тамбовский варёный
211,Окорок свиной копченый
212,Ветчина говяжья
213,Иваси
214,Килька обжареная. Консервы
215,Салат сельдь под шубой
216,Сардина
217,Сардина консервы
218,Сельдь атлантическая среднесолёная
219,Сельдь с луком
220,Сельдь тихоокеанская нежирная
221,Сельдь атлантическая нежирная
222,Сельдь копченная
223,Сельдь тихоокеанская жирная
224,Сельдь тихоокеанская среднесоленая
225,Сельдь филе кусочки. Консервы
226,Шпроты в масле. Консервы
227,Тунец
228,Тунец в масле. Консервы
229,Мойва жареная
230,Щука
231,Сайра. Консервы
232,Анчоус в т.ч. хамса
233,Скумбрия атлантическая
234,Скумбрия холодного копчения
235,Скумбрия натуральная. Консервы
236,Желтый полосатик сушенный
237,Минтай
238,Минтай припущенный
239,Путассу
240,Треска
241,Треска запеченная
242,Котлеты из трески
243,Треска жареная
244,Хек
245,Палтус белокорый
246,Горбуша
247,Горбуша солёная
248,Бутербод с лососем
249,Горбуша натуральная. Консервы
250,Кета
251,Лосось антлантический (сёмга)
252,Семга соленая потрошеная
253,Лосось копченый
254,Форель
255,Форель соленая
256,"Лосось, приготовленный с овощами"
257,Вобла
258,Судак жареный
259,Печень трески. Консервы
260,Икра других рыб
261,Икра Кета зернистая
262,Икра Минтаевая пробойная
263,"Краб, мясо"
264,Крабы натуральные. Консервы
265,Креветка жаренная
266,Креветка неочищенная
267,Салат крабовый
268,Салат Цезарь с креветками
269,Кальмар
270,Кальмары жаренные
271,Кальмары копченные
272,Кальмары с морковью
273,Мидии
274,Вяленная рыба ассорти
275,Котлета рыбная
276,Крабовые палочки
277,"Морепродукты, ассорти"
278,"Паста, крем с морепродуктами"
279,"Паштет, риет из рыбы"
280,Пироги с рыбой
281,Рыба жареная
282,Рыба жареная на гриле или углях
283,Рыба запеченная
284,Салат из крабовых палочек
285,Салат рыбный
286,Салат с лососем
287,Салат с морепродуктами
288,Суп Том-Ям
289,Суповой набор рыбный
290,Уха
291,Суши ролл с рыбой или морепродуктами
292,Суши с лососем
293,Суши ролл Калифорния
294,Суши ролл Филадельфия
295,Суши с креветкой
296,Суши с угрем
297,Суши ассорти
298,Масло сладко-сливочное несоленое
299,Масло сливочное несоленое - «Крестьянское»
300,Шпик свиной соленый
301,Масло оливковое
302,Масло подсолнечное
303,Масло подсолнечное нерафинированное
304,Молоко кокосовое
305,Маргарин
306,Маргарин сливочный
307,Майонез «Провансаль»
308,Майонез столовый молочный
309,Мука из пшеницы
310,Крупа манная
311,Крупа пшеничная
312,Макароны из пшеничной муки
313,Багет
314,Батон нарезной
315,Батон простой
316,Булка ярославская
317,Булки городские
318,Булочка с корицей
319,Булочка с кунжутом
320,Булочка с маком
321,Булочки бутербродные и для гамбургеров
322,Булочки молочные
323,Булочки разные
324,Булочки сдобные
325,Булочки сдобные с фруктами/ягодами
326,Калач
327,"Лепешка, лаваш"
328,Плюшка
329,Фокачча
330,Хлеб бездрожжевой или на закваске
331,Хлеб Заварной
332,Хлеб зерновой
333,Хлеб на сыворотке
334,Хлеб Нарезка
335,Хлеб Нарезной
336,Хлеб порционный
337,Хлеб Пшеничный
338,Хлеб Тостовый
339,Хлеб фитнес
340,Хлеб Чесночный
341,Хлебные палочки соленые
342,Хлебобулочное изделие с чесноком
343,Хлебцы докторские (мука в/с и отруби пшеничные)
344,Чиабатта
345,Хлеб с отрубями
346,Хлеб Гречневый
347,Хлеб Кукурузный
348,Хлеб ржано-пшеничный
349,Хлеб рижский
350,Баранки сдобные
351,Бублики и баранки простые
352,Галеты
353,Гренки
354,Кекс
355,Корж
356,Крекеры
357,Мюсли и батончики из злаков
358,Печенье миндальное
359,Печенье Американское
360,Печенье бисквитное с начинкой
361,Печенье бисквитное с шоколадной глазурью
362,Печенье бисквитное шоколадное
363,Печенье затяжное
364,Печенье зерновое
365,Печенье Лимоннное
366,Печенье Молочное
367,Печенье песочное
368,Печенье с творогом
369,Печенье сахарное
370,Печенье сдобное
371,Печенье сдобное глазированное
372,Печенье сдобное с начинкой
373,Печенье сдобное с шоколадом
374,Печенье сливочное
375,Печенье слоеное
376,Печенье со злаками
377,Печенье чак-чак или хворост
378,Пряники заварные
379,Пряники сырцовые
380,Рулет или улитка
381,Рулет с маком
382,Сухари панировочные
383,Сухари сдобные
384,Сухарики (снэк) с добавками
385,Сушки простые
386,Блины
387,Блины с ветчиной и сыром
388,Блины с мясным наполнителем
389,Блины с разным наполнителем
390,Блины с творогом
391,Блины со сладким наполнителем
392,Вареники с вишней
393,Вареники с картошкой
394,Вареники с творогом
395,Ватрушка
396,Выпечка
397,Выпечка с творогом
398,Кулебяка с капустой
399,Мучные изделия с ветчиной и сыром
400,Пироги и булки с сыром
401,Пироги с повидлом
402,Пироги с фруктами
403,Пирожки с капустой
404,Пирожки с яйцом и луком
405,Пирожки с ягодами
406,Тесто
407,Хачапури
408,Макароны отварные
409,Макароны отварные с мясом и мясным соусом
410,Макароны отварные с овощами
411,Макароны отварные с рыбой
412,Каша из смеси злаков
413,Сухие затраки из злаков с добавками
414,Хлопья из злаков
415,Отруби без добавок
416,Хлеб бородинский
417,Хлеб дарницкий
418,Хлеб из ржаной муки
419,Хлеб столичный
420,Хлеб украинский
421,Хлопья «Геркулес» овес
422,Каша овсяная
423,Печенье овсяное
424,Зерно рис продовольственное
425,Мука рис
426,Крупа рисовая
427,Каша рисовая
428,Плов
429,Рис отварной
430,Рис с овощами
431,Суп харчо с мясом
432,Крупа гречиха ядрица
433,Каша гречневая из крупы ядрицы
434,Каша гречневая с грибами или овощами
435,Крупа перловая ячмень
436,Крупа ячневая ячмень
437,Каша перловая ячмень
438,Крупа просо пшено шлифованное
439,Каша пшенная
440,Зерно кукуруза продовольственное
441,Изделия с добавлением кукурузной муки
442,Кукуруза в початках
443,Кукуруза консервированная
444,Хлопья кукурузные
445,Горох лущеный
446,Горошек зеленый. Консервы
447,Напиток соевый
448,Суп гороховый
449,Фасоль (стручок)
450,"Фасоль, зерно"
451,"Фасоль, зерно. Консервы"
452,Пюре гороховое
453,Салат с фасолью
454,Суп с бобовыми (фасоль)
455,Арахис
456,Грецкий орех очищенный
457,Лещина
458,Фисташки
459,Оливки. Консервы
460,Подсолнечник
461,Спаржа соевая
462,Хумус
463,Салат со спаржей соевой
464,Базилик
465,Зелень ассорти
466,Капуста пекинская
467,Кинза
468,Петрушка
469,Пюре из овощей Консервы
470,Руккола
471,Сельдерей
472,Спаржа
473,Укроп
474,Шпинат
475,Щи из щавеля
476,Айсберг салат листовой
477,Салат
478,Водоросли
479,Морская капуста
480,Салат с морской капустой
481,Суп Мисо
482,Вешенки (грибы)
483,Грибы ассорти консервированные
484,"Грибы, запеченные"
485,Опята
486,Борщ из свежей капусты и картофеля
487,"Борщ из свежей капусты, картофеля и говядины"
488,Брюссельская капуста
489,Голубцы
490,Капуста Белокочанная
491,Капуста брокколи
492,Капуста жареная
493,Капуста квашеная
494,Капуста тушеная
495,Капуста цветная
496,Котлеты Капустные
497,Салат из капусты белокочанной
498,Салат из квашеной капусты
499,Суп-пюре овощной
500,Щи из квашеной капусты
501,Щи из свежей капусты
502,Суп овощной
503,Лук зелёный (перо)
504,Лук репка
505,Чеснок
506,Драники картофельные
507,Запеканка картофельная с овощами
508,Зразы картофельные
509,Картофель жаренный брусочками
510,Картофель запеченный
511,Картофель отварной
512,Картофель тушёный
513,Картофель тушёный с грибами
514,Картофель
515,Картофель молодой
516,"Картофель, жаренный во фритюре"
517,"Картофель, жаренный ломтиками (из отварного)"
518,Котлеты картофельные
519,Окрошка овощная
520,Пирожки картофельные с морковью
521,Пирожки с картофелем
522,Пюре картофельное
523,Рассольник домашний
524,Салат Оливье
525,Салат картофельный с огурцами
526,Салат Столичный
527,Суп картофельный
528,Борщ
529,Борщ украинский
530,Винегрет
531,Имбирь
532,Котлеты морковные
533,Морковный сок или фреш
534,Морковь
535,Редис
536,Редька чёрная
537,Редька и дайкон
538,Салат из моркови
539,Салат из свеклы с сыром и чесноком
540,Салат из редиса
541,Свекла отварная
542,Свекла
543,Свекольник холодный
544,Хрен
545,Огурцы (парниковые)
546,Огурцы сезонные
547,Огурцы (грунтовые)
548,Огурцы и томаты консервированные
549,Огурцы маринованные
550,Огурцы соленые
551,Набор овощей
552,Помидоры без кожицы. Консервы
553,Помидоры с кожицей. Консервы
554,"Помидоры сушенные, вяленные"
555,Салат из свежих помидоров и огурцов
556,Салат из свежих помидоров
557,Томатная паста. Консервы
558,Томаты (грунтовые)
559,"Томаты огурцы, ассорти (набор)"
560,Томаты сезонные
561,Суп томатный
562,Икра кабачковая
563,Кабачки жаренные
564,Кабачки запечённые
565,Кабачки
566,Суп тыквенный
567,Перец сладкий
568,Баклажаны
569,"Баклажаны, фаршированные овощами"
570,Икра из баклажанов. Консервы
571,Кимчи (квашенная пекинская капуста)
572,Овощи замороженные ассорти
573,Перец острый свежий
574,"Перец, фаршированный мясом"
575,Шампиньоны
576,Суп грибной
577,Пироги с грибами
578,Овощи ассорти жареные
579,Лечо
580,Овощи ассорти варенные или тушенные
581,Суши с овощами
582,Салат греческий
583,Салат разный
584,Салат-бар
585,Абрикосы
586,Абрикосы сушеные без косточки (курага)
587,Вишня
588,Персик
589,Слива (садовая)
590,Слива сушеная (чернослив)
591,Финики
592,Черешня
593,Айва
594,Груша
595,Яблоки
596,Гранат
597,Киви
598,Хурма
599,Апельсин
600,Грейпфрут
601,Лайм
602,Лимон
603,Мандарин
604,Помело
605,Авокадо
606,Ананас
607,Банан
608,Манго
609,Виноград
610,Виноград сушеный (кишмиш)
611,Земляника (садовая)
612,Малина
613,Смородина черная
614,Ягоды с сахаром
615,Голубика
616,Арбуз
617,Дыня
618,Варенье из клубники
619,Джем из фруктов и ягод
620,Желе из фруктов и ягод
621,Пюре яблочное
622,Сахар-песок
623,Сахар-рафинад
624,Вафли
625,Вафля с жировыми начинками
626,Плитки кондитерские
627,"Пончики, пышки"
628,Булочка слоёная
629,Булочка слоёная с жировыми начинками
630,Булочка слоёная с творожной начинкой
631,Булочка слоёная с фруктовыми начинками
632,Медовик
633,Мучные изделия с шоколадом
634,Мучные изделия со сгущеным молоком
635,Пироженое миндальное
636,Пирожное бисквитное с белковым кремом
637,Пирожное воздушное с кремом
638,Пирожное заварное с кремом (трубочка)
639,Пирожное заварное с кремом (эклер)
640,Пирожное крошковое
641,Пирожное песочное (кольцо)
642,Пирожное песочное с кремом
643,Пирожное песочное с творогом
644,Пирожное песочное с фруктами и ягодами
645,Пирожное разное ассорти
646,Пирожное слоёное с белковым кремом
647,Суфле и бисквит в шоколадной глазури
648,Торт бисквитный с фруктовой начинкой
649,Торт бисквитный шоколадный
650,Торт вафельный
651,Торт миндальный
652,Торт с безе и жирным кремом
653,Торт слоёный
654,Чизкейк
655,Марципан
656,Глазурь шоколадная
657,Мёд пчелиный
658,Посыпка кондитерская
659,Сироп сладкий
660,Цукаты
661,Десерт разный 15% жира или с указанным % жира
662,Кукурузные и сладкие палочки
663,Пахлава
664,Продукты с добавлением фруктозы
665,Рахат лукум
666,Штрудель
667,Конфета глазированная
668,Конфета леденцовая
669,Конфета с молочной начинкой
670,Конфета с фруктово - ягодной начинкой
671,Конфета с шоколадно - ореховой начинкой
672,Драже сахарное
673,Ирис полутвёрдый
674,Мармелад желейный
675,Зефир
676,"Зефир, глазированный шоколадом"
677,Пастила
678,Паста ореховая
679,Халва тахинно-арахисовая
680,Щербет с орехами (вост сладость)
681,Какао порошок
682,Какао-напиток растворимый
683,Шоколад горький
684,Шоколад полугорький
685,Шоколад молочно - ореховый
686,Шоколад молочно-ореховый с изюмом
687,Шоколад молочный
688,Шоколад ореховый
689,Шоколад сливочный
690,Шоколадная паста
691,Конфеты шоколадные
692,"Зерна и орехи в меду или сахаре, в тч козинак"
693,"Пралине с соевой мукой (раффинозы и стахиозы менее 0,3%)"
694,Батончики протеиновые
695,Батончики фруктовые
696,Батончики шоколадные
697,Конфеты Желейные
698,Конфеты Помадные глазированные шок
699,Конфеты Сбивные
700,Пралине
701,Пралине со слоями вафель
702,Конфеты Ассорти
703,Жевательная конфета
704,Напиток Апельсиновый сокосодержащий
705,"Сок свежевыжатый, фреш"
706,Сок Абрикосовый
707,Сок Ананасовый
708,Сок Апельсиновый
709,Сок Виноградный
710,Сок Вишневый
711,Сок Гранатовый
712,Сок Грейпфрутовый
713,Сок Грушевый
714,Сок Персиковый
715,Сок фруктовый ассорти
716,Сок Яблоко-Вишня
717,Сок Яблочно-виноградный
718,Сок Яблочно-грушевый
719,Сок Яблочный
720,Кофе на молоке
721,"Напиток На эссенциях («Кока-кола», «Пепси-кола», «Байкал» и др.)"
722,"Напиток На эссенциях («Кока-кола», «Пепси-кола», «Байкал» без сах"
723,Напиток На плодово- ягодных настоях
724,Напиток На цитрусовых настоях
725,Напиток сокосодержащий
726,Энергетичекий напиток безалкогольный
727,Напитки порционные
728,Сок Томатный
729,Компот вишневый
730,Компот из абрикосов
731,Компот из черной смородины
732,Компот из сухофруктов
733,Компот из фруктов и ягод
734,Компот из ягод
735,Компот из яблок
736,Кисель из клюквы
737,Кисель из фруктов и ягод
738,Кисель сухой
739,Напитки из растительного сырья
740,Напиток овсяный
741,Квас Хлебный
742,Цикорий
743,Чай без сахара
744,Чай зеленый байховый
745,Чай зеленый листовой
746,Чай на травах без сахара
747,Чай с лимоном
748,Чай с молоком
749,Чай с сахаром
750,Чай травяной для заваривания
751,Чай холодный (напиток чайный с сах)
752,Чай черный байховый
753,Чай черный листовой
754,Кофе жареный в зернах
755,Кофе молотый
756,Кофе растворимый
757,Кофе растворимый с сухим молоком и сахаром
758,Кофе черный (без сахара)
759,Кофе черный (с сахаром)
760,Вода без газа
761,Вода газированная
762,"Пиво светлое, с долей сухих в-в в исходном сусле"
763,"Пиво светлое, с долей сухих в-в в исходном сусле 20%"
764,"Пиво темное, с долей сухих в-в в исходном сусле"
765,Медовуха
766,"Пиво темное, с долей сухих в-в в исходном сусле 20%"
767,Сидр
768,Вина полусладкие белые и красные (в т.ч. шампанское)
769,Вина полусухие белые и красные (в т.ч. шампанское)
770,Вина сухие белые и красные (в т.ч. шампанское)
771,Вина полудесертные
772,Вина сладкие белые и красные (в т.ч. шампанское)
773,Коктейли алкогольные
774,Настойка сладкая
775,Настойка горькая
776,Ликер
777,Напиток винный с коньяком или спиртом
778,Виски
779,"Коньяк, бренди, ром"
780,Водка
781,"Джин, текила"
782,Уксус винный (3%)
783,Дрожжи прессованные (эргостерин)
784,Соль поваренная пищевая
785,Уксус эссенция
786,Уксус яблочный
787,Аджика острая
788,Ванилин
789,Ванильный сахар
790,Горчица столовая
791,Кетчуп томатный
792,"Кориандр, приправа"
793,"Корица, приправа"
794,Лавровый лист
795,Лимонная кислота
796,Перец душистый
797,Перец черный горошек
798,Перец черный молотый
799,Приправа сухая (смесь перцев и соли)
800,Приправа сухая (смесь перцев)
801,Приправа сухая (смесь трав и специй)
802,Соус клюквенный
803,Соус красный основной
804,Соус майонез со сметаной
805,Соус овощной
806,Соус томатный острый
807,Соус томатный
808,Соус белый основной
