Numeric Value,Category Name,Sub
0,Молоко пастеризованное,1_1_1
1,Молоко ультрапастеризованное,1_1_2
2,Молоко стерилизованное,1_1_3
3,Молоко топленое,1_1_4
4,Молоко козье,1_1_5
5,Сливки пастеризованные,1_1_6
6,Сливки ультрапастеризованные,1_1_7
7,Сливки стерилизованные,1_1_8
8,Сливки взбитые,1_1_9
9,Сыр плавленый,1_10_1
10,Сыр плавленый шоколадный,1_10_2
11,Сыр Колбасный (копченый),1_10_3
12,Сырные палочки и фондю,1_10_4
13,Сыр творожный,1_10_5
14,Сыр с ЗМЖ,1_11_1
15,Суп молочный с макаронами,1_12_1
16,Суп молочный с рисом,1_12_2
17,Запеканка из творога,1_12_3
18,Сырники из творога,1_12_5
19,Сырники с морковью,1_12_6
20,Салат сырный,1_12_8
21,Суп сырный,1_12_9
22,Пудинг из творога,1_12_4
23,Вареники,1_12_7
24,Молочные десерты (пудинг и др),1_13_1
25,Продукты с бифидобактериями,1_13_2
26,Молокосодержащий продукт Сметана СЗМЖ,1_13_3
27,Молокосодержащий продукт СЗМЖ,1_13_4
28,Напитки с добавлением молока,1_13_5
29,Напитки с молочной сывороткой,1_13_6
30,Кефир,1_2_1
31,Ряженка,1_2_4
32,Варенец,1_2_5
33,Йогурт натуральный,1_2_6
34,Йогуртный продукт,1_2_7
35,Напиток кисломолочный с добавками ,1_2_8
36,Сметана,1_2_9
37,Кумыс из кобыльего молока,1_2_11
38,Тан,1_2_14
39,Айран,1_2_15
40,Простокваша,1_2_2
41,Ацидофилин,1_2_3
42,Кумыс из коровьего молока,1_2_10
43,Пахта,1_2_12
44,Мацони,1_2_13
45,Творог,1_3_1
46,Творог зерненый,1_3_2
47,Творог мягкий,1_3_3
48,Творог мягкий плодово-ягодный,1_3_4
49,Творожный продукт с ЗМЖ,1_3_5
50,Масса творожная сладкая,1_3_6
51,Масса творожная сладкая с изюмом,1_3_7
52,Масса творожная сладкая с фруктами, ягодами или др. добавками,1_3_8
53,Сырок творожный глазированный,1_3_9
54,Молоко сгущенное,1_4_1
55,Молоко сгущенное с сахаром,1_4_2
56,Молокосодержащий продукт сгущенный с сахаром с ЗМЖ,1_4_3
57,Молоко сухое цельное,1_4_4
58,Сливки сгущенные с сахаром,1_4_5
59,Сливки сухие,1_4_6
60,Мороженое Молочное,1_5_1
61,Мороженое Молочное крем-брюле,1_5_2
62,Мороженое Молочное шоколадное,1_5_3
63,Мороженое Молочное с плодами и ягодами,1_5_4
64,Мороженое Молочное в шоколадной глазури,1_5_5
65,Мороженое Сливочное,1_5_6
66,Мороженое Сливочное крем-брюле,1_5_7
67,Мороженое Сливочное шоколадное,1_5_8
68,Мороженое Сливочное с плодами и ягодами,1_5_9
69,Мороженое Сливочное в шоколадной глазури,1_5_10
70,Пломбир,1_5_11
71,Пломбир крем-брюле,1_5_12
72,Пломбир шоколадный,1_5_13
73,Пломбир с плодами и ягодами,1_5_14
74,Пломбир в шоколадной глазури,1_5_15
75,Мороженое с ЗМЖ,1_5_16
76,Щербет фруктовый,1_5_17
77,Фруктовый лед,1_5_18
78,Сыр твердый,1_6_1
79,Сыр Российский,1_6_2
80,Сыр Голландский,1_6_3
81,Сыр Швейцарский,1_6_4
82,Сыр Чеддер,1_6_5
83,Пошехонский,1_6_6
84,Сыр Угличский,1_6_7
85,Сыр Советский,1_6_8
86,Сыр Костромской,1_6_9
87,Сыр полутвердый,1_7_1
88,Сыр ассорти,1_7_2
89,Сыр мягкий,1_8_1
90,Сыр Камамбер,1_8_2
91,Сыр Адыгейский,1_8_3
92,Сыр сливочный (Маскарпоне, Филадельфия и др),1_8_4
93,Сыр рассольный,1_9_1
94,Брынза ,1_9_2
95,Сулугуни,1_9_3
96,Чанах,1_9_4
97,Моцарелла,1_9_5
98,Яйцо целое,2_1_1
99,Яйцо отварное,2_1_2
100,Яичница  глазунья,2_1_3
101,Яйцо под майонезом,2_1_4
102,Салат яичный,2_1_5
103,Омлет,2_1_6
104,Меланж,2_2_1
105,Яичный порошок,2_2_2
106,Омлет из яичного порошка,2_2_3
107,БЕЛОК яичный (не сухой),2_3_1
108,Белок яичный сухой,2_3_2
109,Желток (не сухой),2_4_1
110,Желток сухой,2_4_2
111,Яйцо перепелиное целое,2_5_1
112,Бараний окорок,3_1_1_18
113,Баранина,3_1_1_17
114,Вырезка говяжья,3_1_1_2
115,Вырезка свиная,3_1_1_10
116,Говядина,3_1_1_1
117,Говядина духовая,3_1_1_4
118,Говядина тазобедренная часть,3_1_1_5
119,Говядина, лопатка,3_1_1_6
120,Конина,3_1_1_19
121,Корейка говяжья,3_1_1_7
122,Корейка свиная бескостная,3_1_1_13
123,Корейка свиная на кости,3_1_1_14
124,Крольчатина,3_1_1_20
125,Ребра свиные,3_1_1_16
126,Свинина мясная,3_1_1_9
127,Свиной окорок,3_1_1_12
128,Суповой набор,3_1_1_21
129,Телятина,3_1_1_8
130,Шейка свиная,3_1_1_11
131,Шейная часть говяжья,3_1_1_3
132,Поросята,3_1_1_15
133,Бедро индейки,3_1_2_9
134,Бройлеры (цыплята),3_1_2_2
135,Голень индейки,3_1_2_10
