Название продукта: Масло  соевое; Категория: 5.4 РАСТИТЕЛЬНЫЕ МАСЛА; Вода: 0,10; Белки: 0,00; Жиры: 99,90; нжк: 16,00; Хол: 0,00; МДС: 0,00; Кр: 0,00; Углеводы: 0,00; ПВ: 0,00; OK: 0,00; Зола: 0,00; Na: 0,00; К: 0,00; Са: 0,00; Mg: 0,00; P: 2,00; Fe: 0,00; A: 0,00; Кар: 0,00; РЭ: 0,00; ТЭ: 17,10; B1: 0,00; В2: 0,00; РР: 0,00; НЭ: 0,00; С: 0,00; ЭЦ: 899,00; МНЖК: 18,91; ПНЖК: 60,00; Омега6: 60,00; Омега3: 0,00; Цинк, Zn: 0,00; Медь, Cu: 0,00; Марганец, Mn: 0,00; Сера, S: 0,00; Хлор, Cl: 0,00; Фтор, F: 0,00; Кобальт, Co: 0,00; Молибден, Mo: 0,00; Стронций, Sr: 0,00; Алюминий, Al: 0,00; Ванадий, V: 0,00; Титан, Ti: 0,00; Никель, Ni: 0,00; Олово, Sn: 0,00; Селен, Se: 0,00; Бор, B: 0,00; Хром, Cr: 0,00; Цирконий, Zr: 0,00; Йод, I: 0,00; Кремний, Si: 0,00; Рубидий, Rb: 0,00; Литий, Li: 0; В4 холин: 0,00; B5 пант: 0,00; B6 пирид: 0,00; B8(H) биот: 0,00; B9 фолаты мкг: 0,00; В12 кобал: 0,00; D (D2+D3) мкг: 0,00; K филлох мкг: 0,00; Валин: 0,00; Изолейцин: 0,00; Лейцин: 0,00; Лизин: 0,00; Метионин: 0,00; Треонин: 0,00; Триптофан: 0,00; Фенилаланин: 0,00; Аланин*: 0,00; Аргинин*: 0,00; Аспарагиновая кислота*: 0,00; Гистидин*: 0,00; Глицин*: 0,00; Глутаминовая кислота*: 0,00; Пролин*: 0,00; Серии*: 0,00; Тирозин*: 0,00; Цистин*: 0,00; Оксипролин*: 0,00; Алкоголь: 0,00; Кофеин: 0,00; Теобромин: 0,00; Нитраты: 0,00;
Название продукта: Жир  кондитерский  твёрдый; Категория: 5.7 ЖИРЫ КОНДИТЕРСКИЕ; Вода: 0,20; Белки: 0,00; Жиры: 99,80; нжк: 83,10; Хол: 0,00; МДС: 0,00; Кр: 0,00; Углеводы: 0,00; ПВ: 0,00; OK: 0,00; Зола: 0,00; Na: 0,00; К: 0,00; Са: 0,00; Mg: 0,00; P: 0,00; Fe: 0,00; A: 0,00; Кар: 0,00; РЭ: 0,00; ТЭ: 0,00; B1: 0; В2: 0,00; РР: 0; НЭ: 0,00; С: 0,00; ЭЦ: 898,00; МНЖК: 11,71; ПНЖК: 0,00; Омега6: 0,00; Омега3: 0,00; Цинк, Zn: 0,00; Медь, Cu: 0,00; Марганец, Mn: 0,00; Сера, S: 0,00; Хлор, Cl: 0,00; Фтор, F: 0,00; Кобальт, Co: 0,00; Молибден, Mo: 0,00; Стронций, Sr: 0,00; Алюминий, Al: 0,00; Ванадий, V: 0,00; Титан, Ti: 0,00; Никель, Ni: 0,00; Олово, Sn: 0,00; Селен, Se: 0,00; Бор, B: 0,00; Хром, Cr: 0,00; Цирконий, Zr: 0,00; Йод, I: 0,00; Кремний, Si: 0,00; Рубидий, Rb: 0,00; Литий, Li: 0; В4 холин: 0,00; B5 пант: 0,00; B6 пирид: 0,00; B8(H) биот: 0,00; B9 фолаты мкг: 0,00; В12 кобал: 0,00; D (D2+D3) мкг: 0,00; K филлох мкг: 0,00; Валин: 0,00; Изолейцин: 0,00; Лейцин: 0,00; Лизин: 0,00; Метионин: 0,00; Треонин: 0,00; Триптофан: 0,00; Фенилаланин: 0,00; Аланин*: 0,00; Аргинин*: 0,00; Аспарагиновая кислота*: 0,00; Гистидин*: 0,00; Глицин*: 0,00; Глутаминовая кислота*: 0,00; Пролин*: 0,00; Серии*: 0,00; Тирозин*: 0,00; Цистин*: 0,00; Оксипролин*: 0,00; Алкоголь: 0,00; Кофеин: 0,00; Теобромин: 0,00; Нитраты: 0,00;
Название продукта: Жир бараний; Категория: 5.2 ЖИВОТНЫЕ ЖИРЫ; Вода: 0,30; Белки: 0,00; Жиры: 99,70; нжк: 61,20; Хол: 100,00; МДС: 0,00; Кр: 0,00; Углеводы: 0,00; ПВ: 0,00; OK: 0,00; Зола: 0,00; Na: 0,00; К: 0,00; Са: 0,00; Mg: 0,00; P: 0,00; Fe: 0,00; A: 60,00; Кар: 20,00; РЭ: 63,00; ТЭ: 0,50; B1: 0,00; В2: 0,00; РР: 0,00; НЭ: 0,00; С: 0,00; ЭЦ: 897,00; МНЖК: 29,72; ПНЖК: 3,80; Омега6: 3,80; Омега3: 0,00; Цинк, Zn: 0,00; Медь, Cu: 0,00; Марганец, Mn: 0,00; Сера, S: 0,00; Хлор, Cl: 0,00; Фтор, F: 0,00; Кобальт, Co: 0,00; Молибден, Mo: 0,00; Стронций, Sr: 0,00; Алюминий, Al: 0,00; Ванадий, V: 0,00; Титан, Ti: 0,00; Никель, Ni: 0,00; Олово, Sn: 0,00; Селен, Se: 0,00; Бор, B: 0,00; Хром, Cr: 0,00; Цирконий, Zr: 0,00; Йод, I: 0,00; Кремний, Si: 0,00; Рубидий, Rb: 0,00; Литий, Li: 0; В4 холин: 0,00; B5 пант: 0,00; B6 пирид: 0,00; B8(H) биот: 0,00; B9 фолаты мкг: 0,00; В12 кобал: 0,00; D (D2+D3) мкг: 0,00; K филлох мкг: 0,00; Валин: 0,00; Изолейцин: 0,00; Лейцин: 0,00; Лизин: 0,00; Метионин: 0,00; Треонин: 0,00; Триптофан: 0,00; Фенилаланин: 0,00; Аланин*: 0,00; Аргинин*: 0,00; Аспарагиновая кислота*: 0,00; Гистидин*: 0,00; Глицин*: 0,00; Глутаминовая кислота*: 0,00; Пролин*: 0,00; Серии*: 0,00; Тирозин*: 0,00; Цистин*: 0,00; Оксипролин*: 0,00; Алкоголь: 0,00; Кофеин: 0,00; Теобромин: 0,00; Нитраты: 0,00;
Название продукта: Жир говяжий топленый; Категория: 5.2 ЖИВОТНЫЕ ЖИРЫ; Вода: 0,30; Белки: 0,00; Жиры: 99,60; нжк: 60,30; Хол: 110,00; МДС: 0,00; Кр: 0,00; Углеводы: 0,00; ПВ: 0,00; OK: 0,00; Зола: 0,10; Na: 10,00; К: 6,00; Са: 0,00; Mg: 0,00; P: 7,00; Fe: 0,00; A: 20,00; Кар: 40,00; РЭ: 27,00; ТЭ: 1,30; B1: 0,00; В2: 0,00; РР: 0,00; НЭ: 0,00; С: 0,00; ЭЦ: 896,00; МНЖК: 28,92; ПНЖК: 5,40; Омега6: 5,40; Омега3: 0,00; Цинк, Zn: 0,00; Медь, Cu: 0,00; Марганец, Mn: 0,00; Сера, S: 0,00; Хлор, Cl: 0,00; Фтор, F: 0,00; Кобальт, Co: 0,00; Молибден, Mo: 0,00; Стронций, Sr: 0,00; Алюминий, Al: 0,00; Ванадий, V: 0,00; Титан, Ti: 0,00; Никель, Ni: 0,00; Олово, Sn: 0,00; Селен, Se: 0,00; Бор, B: 0,00; Хром, Cr: 0,00; Цирконий, Zr: 0,00; Йод, I: 0,00; Кремний, Si: 0,00; Рубидий, Rb: 0,00; Литий, Li: 0; В4 холин: 0,00; B5 пант: 0,00; B6 пирид: 0,00; B8(H) биот: 0,00; B9 фолаты мкг: 0,00; В12 кобал: 0,00; D (D2+D3) мкг: 0,00; K филлох мкг: 0,00; Валин: 0,00; Изолейцин: 0,00; Лейцин: 0,00; Лизин: 0,00; Метионин: 0,00; Треонин: 0,00; Триптофан: 0,00; Фенилаланин: 0,00; Аланин*: 0,00; Аргинин*: 0,00; Аспарагиновая кислота*: 0,00; Гистидин*: 0,00; Глицин*: 0,00; Глутаминовая кислота*: 0,00; Пролин*: 0,00; Серии*: 0,00; Тирозин*: 0,00; Цистин*: 0,00; Оксипролин*: 0,00; Алкоголь: 0,00; Кофеин: 0,00; Теобромин: 0,00; Нитраты: 0,00;
Название продукта: Жир из печени трески; Категория: 5.3 ЖИРЫ РЫБ; Вода: 0,20; Белки: 0,00; Жиры: 99,80; нжк: 17,80; Хол: 570,00; МДС: 0,00; Кр: 0,00; Углеводы: 0,00; ПВ: 0,00; OK: 0,00; Зола: 0,00; Na: 0,00; К: 0,00; Са: 0,00; Mg: 0,00; P: 0,00; Fe: 0,00; A: 0,00; Кар: 0,00; РЭ: 25 000,00; ТЭ: 0,00; B1: 0,00; В2: 0,00; РР: 0,00; НЭ: 0,00; С: 0,00; ЭЦ: 898,00; МНЖК: 49,81; ПНЖК: 27,20; Омега6: 8,16; Омега3: 19,04; Цинк, Zn: 0,00; Медь, Cu: 0,00; Марганец, Mn: 0,00; Сера, S: 0,00; Хлор, Cl: 0,00; Фтор, F: 0,00; Кобальт, Co: 0,00; Молибден, Mo: 0,00; Стронций, Sr: 0,00; Алюминий, Al: 0,00; Ванадий, V: 0,00; Титан, Ti: 0,00; Никель, Ni: 0,00; Олово, Sn: 0,00; Селен, Se: 0,00; Бор, B: 0,00; Хром, Cr: 0,00; Цирконий, Zr: 0,00; Йод, I: 0,00; Кремний, Si: 0,00; Рубидий, Rb: 0,00; Литий, Li: 0; В4 холин: 0,00; B5 пант: 0,00; B6 пирид: 0,00; B8(H) биот: 0,00; B9 фолаты мкг: 0,00; В12 кобал: 0,00; D (D2+D3) мкг: 250,00; K филлох мкг: 0,00; Валин: 0,00; Изолейцин: 0,00; Лейцин: 0,00; Лизин: 0,00; Метионин: 0,00; Треонин: 0,00; Триптофан: 0,00; Фенилаланин: 0,00; Аланин*: 0,00; Аргинин*: 0,00; Аспарагиновая кислота*: 0,00; Гистидин*: 0,00; Глицин*: 0,00; Глутаминовая кислота*: 0,00; Пролин*: 0,00; Серии*: 0,00; Тирозин*: 0,00; Цистин*: 0,00; Оксипролин*: 0,00; Алкоголь: 0,00; Кофеин: 0,00; Теобромин: 0,00; Нитраты: 0,00;
Название продукта: Жир кондитерский для шоколадных изделий; Категория: 5.7 ЖИРЫ КОНДИТЕРСКИЕ; Вода: 0,30; Белки: 0,00; Жиры: 99,70; нжк: 29,90; Хол: 0,00; МДС: 0,00; Кр: 0,00; Углеводы: 0,00; ПВ: 0,00; OK: 0,00; Зола: 0,00; Na: 0,00; К: 0,00; Са: 0,00; Mg: 0,00; P: 0,00; Fe: 0,00; A: 0,00; Кар: 0,00; РЭ: 0,00; ТЭ: 20,00; B1: 0; В2: 0,00; РР: 0; НЭ: 0,00; С: 0,00; ЭЦ: 897,00; МНЖК: 59,32; ПНЖК: 5,50; Омега6: 5,50; Омега3: 0,00; Цинк, Zn: 0,00; Медь, Cu: 0,00; Марганец, Mn: 0,00; Сера, S: 0,00; Хлор, Cl: 0,00; Фтор, F: 0,00; Кобальт, Co: 0,00; Молибден, Mo: 0,00; Стронций, Sr: 0,00; Алюминий, Al: 0,00; Ванадий, V: 0,00; Титан, Ti: 0,00; Никель, Ni: 0,00; Олово, Sn: 0,00; Селен, Se: 0,00; Бор, B: 0,00; Хром, Cr: 0,00; Цирконий, Zr: 0,00; Йод, I: 0,00; Кремний, Si: 0,00; Рубидий, Rb: 0,00; Литий, Li: 0; В4 холин: 0,00; B5 пант: 0,00; B6 пирид: 0,00; B8(H) биот: 0,00; B9 фолаты мкг: 0,00; В12 кобал: 0,00; D (D2+D3) мкг: 0,00; K филлох мкг: 0,00; Валин: 0,00; Изолейцин: 0,00; Лейцин: 0,00; Лизин: 0,00; Метионин: 0,00; Треонин: 0,00; Триптофан: 0,00; Фенилаланин: 0,00; Аланин*: 0,00; Аргинин*: 0,00; Аспарагиновая кислота*: 0,00; Гистидин*: 0,00; Глицин*: 0,00; Глутаминовая кислота*: 0,00; Пролин*: 0,00; Серии*: 0,00; Тирозин*: 0,00; Цистин*: 0,00; Оксипролин*: 0,00; Алкоголь: 0,00; Кофеин: 0,00; Теобромин: 0,00; Нитраты: 0,00;
Название продукта: Жир костный топленый; Категория: 5.2 ЖИВОТНЫЕ ЖИРЫ; Вода: 0,30; Белки: 0,00; Жиры: 93,70; нжк: 41,90; Хол: 100,00; МДС: 0,00; Кр: 0,00; Углеводы: 0,00; ПВ: 0,00; OK: 0,00; Зола: 0,00; Na: 10,00; К: 0,00; Са: 0,00; Mg: 0,00; P: 0,00; Fe: 0,00; A: 0,00; Кар: 30,00; РЭ: 5,00; ТЭ: 0,00; B1: 0,00; В2: 0,00; РР: 0,00; НЭ: 0,00; С: 0,00; ЭЦ: 897,00; МНЖК: 43,92; ПНЖК: 3,20; Омега6: 3,20; Омега3: 0,00; Цинк, Zn: 0,00; Медь, Cu: 0,00; Марганец, Mn: 0,00; Сера, S: 0,00; Хлор, Cl: 0,00; Фтор, F: 0,00; Кобальт, Co: 0,00; Молибден, Mo: 0,00; Стронций, Sr: 0,00; Алюминий, Al: 0,00; Ванадий, V: 0,00; Титан, Ti: 0,00; Никель, Ni: 0,00; Олово, Sn: 0,00; Селен, Se: 0,00; Бор, B: 0,00; Хром, Cr: 0,00; Цирконий, Zr: 0,00; Йод, I: 0,00; Кремний, Si: 0,00; Рубидий, Rb: 0,00; Литий, Li: 0; В4 холин: 0,00; B5 пант: 0,00; B6 пирид: 0,00; B8(H) биот: 0,00; B9 фолаты мкг: 0,00; В12 кобал: 0,00; D (D2+D3) мкг: 0,00; K филлох мкг: 0,00; Валин: 0,00; Изолейцин: 0,00; Лейцин: 0,00; Лизин: 0,00; Метионин: 0,00; Треонин: 0,00; Триптофан: 0,00; Фенилаланин: 0,00; Аланин*: 0,00; Аргинин*: 0,00; Аспарагиновая кислота*: 0,00; Гистидин*: 0,00; Глицин*: 0,00; Глутаминовая кислота*: 0,00; Пролин*: 0,00; Серии*: 0,00; Тирозин*: 0,00; Цистин*: 0,00; Оксипролин*: 0,00; Алкоголь: 0,00; Кофеин: 0,00; Теобромин: 0,00; Нитраты: 0,00;
Название продукта: Жир кулинарный  «Новинка»; Категория: 5.6 ЖИРЫ КУЛИНАРНЫЕ; Вода: 0,30; Белки: 0,00; Жиры: 99,70; нжк: 24,20; Хол: 0,00; МДС: 0,00; Кр: 0,00; Углеводы: 0,00; ПВ: 0,00; OK: 0,00; Зола: 0,00; Na: 0,00; К: 0,00; Са: 0,00; Mg: 0,00; P: 0,00; Fe: 0,00; A: 0,00; Кар: 0,00; РЭ: 0,00; ТЭ: 0,00; B1: 0,00; В2: 0; РР: 0,00; НЭ: 0; С: 0,00; ЭЦ: 897,00; МНЖК: 43,02; ПНЖК: 27,50; Омега6: 27,50; Омега3: 0,00; Цинк, Zn: 0,00; Медь, Cu: 0,00; Марганец, Mn: 0,00; Сера, S: 0,00; Хлор, Cl: 0,00; Фтор, F: 0,00; Кобальт, Co: 0,00; Молибден, Mo: 0,00; Стронций, Sr: 0,00; Алюминий, Al: 0,00; Ванадий, V: 0,00; Титан, Ti: 0,00; Никель, Ni: 0,00; Олово, Sn: 0,00; Селен, Se: 0,00; Бор, B: 0,00; Хром, Cr: 0,00; Цирконий, Zr: 0,00; Йод, I: 0,00; Кремний, Si: 0,00; Рубидий, Rb: 0,00; Литий, Li: 0; В4 холин: 0,00; B5 пант: 0,00; B6 пирид: 0,00; B8(H) биот: 0,00; B9 фолаты мкг: 0,00; В12 кобал: 0,00; D (D2+D3) мкг: 0,00; K филлох мкг: 0,00; Валин: 0,00; Изолейцин: 0,00; Лейцин: 0,00; Лизин: 0,00; Метионин: 0,00; Треонин: 0,00; Триптофан: 0,00; Фенилаланин: 0,00; Аланин*: 0,00; Аргинин*: 0,00; Аспарагиновая кислота*: 0,00; Гистидин*: 0,00; Глицин*: 0,00; Глутаминовая кислота*: 0,00; Пролин*: 0,00; Серии*: 0,00; Тирозин*: 0,00; Цистин*: 0,00; Оксипролин*: 0,00; Алкоголь: 0,00; Кофеин: 0,00; Теобромин: 0,00; Нитраты: 0,00;
Название продукта: Жир кулинарный «Белорусский»; Категория: 5.6 ЖИРЫ КУЛИНАРНЫЕ; Вода: 0,30; Белки: 0,00; Жиры: 99,70; нжк: 25,30; Хол: 0,00; МДС: 0,00; Кр: 0,00; Углеводы: 0,00; ПВ: 0,00; OK: 0,00; Зола: 0,00; Na: 0,00; К: 0,00; Са: 0,00; Mg: 0,00; P: 0,00; Fe: 0,00; A: 0,00; Кар: 0,00; РЭ: 0,00; ТЭ: 23,00; B1: 0,00; В2: 0,00; РР: 0,00; НЭ: 0,00; С: 0,00; ЭЦ: 897,00; МНЖК: 45,42; ПНЖК: 24,00; Омега6: 24,00; Омега3: 0,00; Цинк, Zn: 0,00; Медь, Cu: 0,00; Марганец, Mn: 0,00; Сера, S: 0,00; Хлор, Cl: 0,00; Фтор, F: 0,00; Кобальт, Co: 0,00; Молибден, Mo: 0,00; Стронций, Sr: 0,00; Алюминий, Al: 0,00; Ванадий, V: 0,00; Титан, Ti: 0,00; Никель, Ni: 0,00; Олово, Sn: 0,00; Селен, Se: 0,00; Бор, B: 0,00; Хром, Cr: 0,00; Цирконий, Zr: 0,00; Йод, I: 0,00; Кремний, Si: 0,00; Рубидий, Rb: 0,00; Литий, Li: 0; В4 холин: 0,00; B5 пант: 0,00; B6 пирид: 0,00; B8(H) биот: 0,00; B9 фолаты мкг: 0,00; В12 кобал: 0,00; D (D2+D3) мкг: 0,00; K филлох мкг: 0,00; Валин: 0,00; Изолейцин: 0,00; Лейцин: 0,00; Лизин: 0,00; Метионин: 0,00; Треонин: 0,00; Триптофан: 0,00; Фенилаланин: 0,00; Аланин*: 0,00; Аргинин*: 0,00; Аспарагиновая кислота*: 0,00; Гистидин*: 0,00; Глицин*: 0,00; Глутаминовая кислота*: 0,00; Пролин*: 0,00; Серии*: 0,00; Тирозин*: 0,00; Цистин*: 0,00; Оксипролин*: 0,00; Алкоголь: 0,00; Кофеин: 0,00; Теобромин: 0,00; Нитраты: 0,00;
Название продукта: Жир кулинарный «Восточный»; Категория: 5.6 ЖИРЫ КУЛИНАРНЫЕ; Вода: 0,30; Белки: 0,00; Жиры: 99,70; нжк: 25,30; Хол: 0,00; МДС: 0,00; Кр: 0,00; Углеводы: 0,00; ПВ: 0,00; OK: 0,00; Зола: 0,00; Na: 0,00; К: 0,00; Са: 0,00; Mg: 0,00; P: 0,00; Fe: 0,00; A: 0,00; Кар: 0,00; РЭ: 0,00; ТЭ: 23,00; B1: 0,00; В2: 0,00; РР: 0,00; НЭ: 0,00; С: 0,00; ЭЦ: 897,00; МНЖК: 47,92; ПНЖК: 21,50; Омега6: 21,50; Омега3: 0,00; Цинк, Zn: 0,00; Медь, Cu: 0,00; Марганец, Mn: 0,00; Сера, S: 0,00; Хлор, Cl: 0,00; Фтор, F: 0,00; Кобальт, Co: 0,00; Молибден, Mo: 0,00; Стронций, Sr: 0,00; Алюминий, Al: 0,00; Ванадий, V: 0,00; Титан, Ti: 0,00; Никель, Ni: 0,00; Олово, Sn: 0,00; Селен, Se: 0,00; Бор, B: 0,00; Хром, Cr: 0,00; Цирконий, Zr: 0,00; Йод, I: 0,00; Кремний, Si: 0,00; Рубидий, Rb: 0,00; Литий, Li: 0; В4 холин: 0,00; B5 пант: 0,00; B6 пирид: 0,00; B8(H) биот: 0,00; B9 фолаты мкг: 0,00; В12 кобал: 0,00; D (D2+D3) мкг: 0,00; K филлох мкг: 0,00; Валин: 0,00; Изолейцин: 0,00; Лейцин: 0,00; Лизин: 0,00; Метионин: 0,00; Треонин: 0,00; Триптофан: 0,00; Фенилаланин: 0,00; Аланин*: 0,00; Аргинин*: 0,00; Аспарагиновая кислота*: 0,00; Гистидин*: 0,00; Глицин*: 0,00; Глутаминовая кислота*: 0,00; Пролин*: 0,00; Серии*: 0,00; Тирозин*: 0,00; Цистин*: 0,00; Оксипролин*: 0,00; Алкоголь: 0,00; Кофеин: 0,00; Теобромин: 0,00; Нитраты: 0,00;
Название продукта: Жир кулинарный «Украинский»; Категория: 5.6 ЖИРЫ КУЛИНАРНЫЕ; Вода: 0,30; Белки: 0,00; Жиры: 99,70; нжк: 23,70; Хол: 0,00; МДС: 0,00; Кр: 0,00; Углеводы: 0,00; ПВ: 0,00; OK: 0,00; Зола: 0,00; Na: 0,00; К: 0,00; Са: 0,00; Mg: 0,00; P: 0,00; Fe: 0,00; A: 0,00; Кар: 0,00; РЭ: 0,00; ТЭ: 22,00; B1: 0,00; В2: 0; РР: 0,00; НЭ: 0; С: 0,00; ЭЦ: 897,00; МНЖК: 44,92; ПНЖК: 26,10; Омега6: 26,10; Омега3: 0,00; Цинк, Zn: 0,00; Медь, Cu: 0,00; Марганец, Mn: 0,00; Сера, S: 0,00; Хлор, Cl: 0,00; Фтор, F: 0,00; Кобальт, Co: 0,00; Молибден, Mo: 0,00; Стронций, Sr: 0,00; Алюминий, Al: 0,00; Ванадий, V: 0,00; Титан, Ti: 0,00; Никель, Ni: 0,00; Олово, Sn: 0,00; Селен, Se: 0,00; Бор, B: 0,00; Хром, Cr: 0,00; Цирконий, Zr: 0,00; Йод, I: 0,00; Кремний, Si: 0,00; Рубидий, Rb: 0,00; Литий, Li: 0; В4 холин: 0,00; B5 пант: 0,00; B6 пирид: 0,00; B8(H) биот: 0,00; B9 фолаты мкг: 0,00; В12 кобал: 0,00; D (D2+D3) мкг: 0,00; K филлох мкг: 0,00; Валин: 0,00; Изолейцин: 0,00; Лейцин: 0,00; Лизин: 0,00; Метионин: 0,00; Треонин: 0,00; Триптофан: 0,00; Фенилаланин: 0,00; Аланин*: 0,00; Аргинин*: 0,00; Аспарагиновая кислота*: 0,00; Гистидин*: 0,00; Глицин*: 0,00; Глутаминовая кислота*: 0,00; Пролин*: 0,00; Серии*: 0,00; Тирозин*: 0,00; Цистин*: 0,00; Оксипролин*: 0,00; Алкоголь: 0,00; Кофеин: 0,00; Теобромин: 0,00; Нитраты: 0,00;
